Case,Date,Year,Type,Area,Location,Activity,Sex ,Age,Fatal,Time,Species 
1946.12.28,28/12/1946,1946,Unprovoked,South Australia,Glenelg,Swimming near jetty with 2' piece of wood,M,23,N,unknown,unknown
1946.12.24.R,24/12/1946,1946,Boating,Queensland,"Auckland Creek, Gladstone",unknown,unknown,unknown,N,unknown,7' shark
1946.11.20,20/11/1946,1946,Unprovoked,Torres Strait,40 miles off Thursday Island,Pearl diving from lugger,M,30,Y,unknown,unknown
1946.10.14,14/10/1946,1946,Unprovoked,New South Wales,"Mark’s Point, Swan Bay, Lake Macquarie",Swimming,M,15,N,unknown,unknown
1946.08.18,18/08/1946,1946,Unprovoked,Queensland,"Ellis Beach, 20 miles from Cairns",Swimming after a tennis ball,M,30,Y,15h20,4.3 m [14'] shark
1946.04.19,19/04/1946,1946,Unprovoked,Queensland,"Trinity Beach, Cairns",Swimming,M,17,Y,13h30,unknown
1946.04.00,1/04/1946,1946,Boating,South Australia,Port Newby,Fishing,unknown,unknown,N,unknown,6 m [20']  shark
1946.03.20,20/03/1946,1946,Boating,South Australia,Grange,Fishing,M,28,N,19h00,unknown
1946.02.10.b,10/02/1946,1946,Unprovoked,Western Australia,"City Beach, Perth",Standing,M,18,N,12h15,"White shark, 4.2 m [13'9""] "
1946.01.17,17/01/1946,1946,Unprovoked,Queensland,Townsville,unknown,M,12,N,unknown,small shark
1946.01.05,5/01/1946,1946,Unprovoked,New South Wales,"Oatley Bay near Como, George’s River",Swimming,F,14,Y,unknown,unknown
1945.06.15,15/06/1945,1945,Unprovoked,Queensland,"Trinity Beach, Cairns",Swimming,M,unknown,Y,16h00,unknown
1944.11.01,1/11/1944,1944,unknown,Queensland,Maroochydore Beach,Swimming,M,unknown,Y,unknown,unknown
1944.10.23.R,23/10/1944,1944,Boating,Queensland,Tewantin,Fishing,unknown,unknown,N,unknown,unknown
1944.01.16,16/01/1944,1944,Boating,Western Australia,"Cottesloe, Perth",Fishing,M,unknown,N,unknown,14' shark
1944.01.14,14/01/1944,1944,Unprovoked,New South Wales,"First Beach, Forster",Surfing,M,14,N,17h00,unknown
1943.06.16,16/06/1943,1943,Boating,Tasmania,Triabunna,Fishing for cod,M,18,N,unknown,"White shark, 3.9 m, 550 kg, male"
1943.05.14,14/05/1943,1943,Sea Disaster,Queensland,Off Brisbane,Hospital Ship Centaur torpedoed & sunk by the Japanese submarine I-177,M,unknown,Y,After 04h00,unknown
1942.12.26,26/12/1942,1942,Unprovoked,New South Wales,"Bantry Bay, near Ironstone Point, Middle Harbor, Sydney",Dog paddling or standing,F,15,Y,10h50,Bull shark
1942.09.12.a,12/09/1942,1942,Unprovoked,Queensland,"Trinity Beach, 17 km northwast of Cairns",Treading water,M,24,N,16h30,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
1942.05.09,9/05/1942,1942,Unprovoked,Queensland,"Great Barrier Reef, off Cairns",Diving from lugger,M,unknown,N,unknown,unknown
1942.03.04,4/03/1942,1942,unknown,New South Wales,George’s River,unknown,M,18,Y,unknown,unknown
1942.01.18,18/01/1942,1942,Boating,New South Wales,Fairy Bower,unknown,unknown,unknown,N,unknown,unknown
1942.01.04,4/01/1942,1942,Unprovoked,New South Wales,"Egg Rock, Middle Harbor, Sydney",Swimming,F,28,Y,15h00,"Bull shark, 4 m [13'] "
1942.01.00,1/01/1942,1942,Provoked,New South Wales,"Fairy Bower, near North Steyne",Surf-skiing,M,unknown,N,unknown,3 m [10'] shark
1942.00.00.j,Winter 1942,1942,Boating,Tasmania,Off Big Friar Island,Fishing for perch,M,unknown,N,unknown,unknown
1941.12.03,3/12/1941,1941,Unprovoked,Western Australia,Carnarvon,Swimming,M,10,N,Night,unknown
1941.11.19,19/11/1941,1941,Sea Disaster,Western Australia,Shark Bay,German raider Kormoran was sunk in an engagement with HMAS Sydney,M,unknown,N,unknown,unknown
1941.08.05,5/08/1941,1941,unknown,New South Wales,Parramata River,Swimming,M,unknown,Y,unknown,unknown
1941.02.13.,13/02/1941,1941,Provoked,New South Wales,Wollongong,Fishing,M,34,N,unknown,unknown
1940.12.28,28/12/1940,1940,Unprovoked,New South Wales,"Stockton Beach, Newcastle",Standing on sandbank,M,23,Y,09h00,unknown
1940.12.19.R,19/12/1940,1940,Unprovoked,Queensland,Double Island Beach,Fishing,M,unknown,N,unknown,unknown
1940.12.10,10/12/1940,1940,Provoked,Northern Territory,Darwin,Collecting fish in military trap when bitten by captured shark that had been shot by soldiers with Garten,M,unknown,N,unknown,unknown
1940.03.20,20/03/1940,1940,Unprovoked,New South Wales,Gerringong,Free diving for lobster,M,unknown,N,unknown,Wobbegong shark
1940.02.20,20/02/1940,1940,Boating,New South Wales,Sydney Harbour,Canoeing,unknown,unknown,N,15h30,unknown
1940.02.04,4/02/1940,1940,Unprovoked,New South Wales,"North Brighton, Botany Bay",Wading,M,55,Y,14h00,unknown
1940.01.29,29/01/1940,1940,Unprovoked,Queensland,Brisbane River,Dived into the water,M,17,N,unknown,"""a small shark"""
1940.01.23,23/01/1940,1940,Unprovoked,New South Wales,"North Brighton, Botany Bay",Swimming,M,13,Y,10h40,3 m [10'] shark
1940.01.15,15/01/1940,1940,Unprovoked,Queensland,"Surfers Paradise, near Southport",Swimming,M,22,N,Afternoon,unknown
1940.01.01,1/01/1940,1940,Unprovoked,Queensland,"Malagil, Barrier Reef",Diving for trochus,M,unknown,N,unknown,unknown
1939.12.28,28/12/1939,1939,unknown,New South Wales,"Cabramatta Creek, George’s River ",Swimming,M,40,N,unknown,6' shark
1939.12.14,14/12/1939,1939,Unprovoked,Queensland,"Rubbish Dump Creek, Mackay",Swimming ,M,20,Y,12h15,2.6 m [8.5'] shark landed 2 hours later
1939.11.23,23/11/1939,1939,Boating,New South Wales,Wollongong,unknown,unknown,unknown,N,unknown,"Blue pointer, 16'"
1939.11.11,11/11/1939,1939,Provoked,New South Wales,Maroubra,unknown,unknown,unknown,N,unknown,whaler shark
1939.11.09,9/11/1939,1939,Boating,New South Wales,Wollongong,unknown,unknown,unknown,unknown,unknown,unknown
1939.11.06,6/11/1939,1939,Boating,New South Wales,Wollongong,unknown,unknown,unknown,unknown,unknown,unknown
1939.10.25.R,25/10/1939,1939,Unprovoked,Queensland,Near Restoration Rock off Portland Roads ,"Free diving for trochus shell, swimming to dinghy",M,27,N,unknown,"Tiger shark, 4.3 m [14'], 3 tooth fragments retrieved from his wounds"
1939.09.27.R,27/09/1939,1939,Unprovoked,Torres Strait ,Near Mabuiag Island,Pearl diving,M,unknown,N,unknown,Tiger shark
1939.01.12,12/01/1939,1939,Unprovoked,New South Wales,Clarence River,Scooping prawns,M,11,N,unknown,7' shark
1938.12.27,27/12/1938,1938,Unprovoked,New South Wales,"North Beach, Belligen River",Swimming,M,19,Y,unknown,unknown
1938.10.05,5/10/1938,1938,Provoked,Queensland,Between Wynnum & St. Helena Island,Fishing,M,18,N,Afternoon,"Tiger shark, 6'"
1938.07.12,12/07/1938,1938,Unprovoked,Torres Strait,Off Bathurst Island,"Hardhat diving from Japanese pearling lugger, Reiyo Maru",M,25,Y,unknown,unknown
1938.06.08,8/06/1938,1938,Unprovoked,New South Wales,Manly,Hardhat diving,M,unknown,N,unknown,6' shark
1938.03.08,8/03/1938,1938,Unprovoked,Northern Territory,Liverpool River,Canoe capsized by shark,M,unknown,N,unknown,unknown
1938.01.21,21/01/1938,1938,Provoked,New South Wales,Tweed Heads,Fishing,M,unknown,N,unknown," Tiger shark, 3'"
1938.01.14,14/01/1938,1938,Unprovoked,New South Wales,"Lady Martin’s Beach, Sydney Harbor",Diving off jetty,M,24,N,Afternoon,Questionable incident
1938.01.02,2/01/1938,1938,Unprovoked,New South Wales,Cronulla,Surf skiing,M,unknown,N,unknown,unknown
1938.00.00.b,21/04/1905,1938,Unprovoked,Torres Strait,unknown,Diving,M,17,N,unknown,unknown
1937.11.11,11/11/1937,1937,Unprovoked,Torres Strait ,Ota Reef,Diving for trochus,M,17,Y,unknown,12' shark
1937.10.27.b,27/10/1937,1937,Unprovoked,Queensland ,"Kirra Beach, Coolangatta",Swimming ,M,25,Y,17h30,Tiger shark
1937.10.27.a,27/10/1937,1937,Unprovoked,Queensland,"Kirra Beach, Coolangatta",Swimming ,M,18,Y,17h30,"Tiger shark,  3.6 m [11'9""], 850-kg [1874-lb] female, contained Girvan's remains "
1937.10.24.c,24/10/1937,1937,Unprovoked,New South Wales,Byron Bay ,Swimming near jetty,M,16,N,unknown,2.4 m [8'] shark
1937.10.24.a,24/10/1937,1937,Unprovoked,New South Wales,Byron Bay ,Surf skiing,M,unknown,N,unknown,2.6 m [8.5'] shark
1937.08.31,31/08/1937,1937,Unprovoked,Torres Strait,"Mabuiag Island, between New Guinea & Australia","Diving from the lugger San, operated by the Protector of the Aborigines",M,38,N,11h00,"Tiger shark, 9' to 10' "
1937.07.16.R,16/07/1937,1937,Unprovoked,Northern Territory,Elcho Island,Pearl diving,M,unknown,Y,unknown,unknown
1937.06.15.b,15/06/1937,1937,Provoked,New South Wales,"Wallamba River, near entrance to Wallis Lake","Fishing from launch, fell into net with shark",M,unknown,N,unknown,"Whaler shark, 4 m [13'] "
1937.05.15,15/05/1937,1937,Unprovoked,Queensland,"Ross River, Townsville","Refused permission to cross on the ferry, he was swimming across the river",M,33,Y,Night,2 days later a 600-lb shark was caught 100 yards from the site
1937.03.26,26/03/1937,1937,unknown,New South Wales,South Cronulla,Bathing,M,16,N,unknown,unknown
1937.03.09,9/03/1937,1937,unknown,Victoria,Port Melbourne,Swimming,M,43,Y,unknown,unknown
1937.02.13,13/02/1937,1937,Unprovoked,New South Wales,"Bar Beach, Newcastle",Swimming,M,32,Y,15h20,White shark
1937.02.11,11/02/1937,1937,Unprovoked,New South Wales,Kempsey,Swimming ashore after launch capsized,unknown,unknown,N,unknown,unknown
1937.02.04,4/02/1937,1937,Boating,New South Wales, Botany Bay ,Fishing,unknown,unknown,N,03h00,unknown
1937.02.03,3/02/1937,1937,Provoked,Queensland,Moreton Island,Fishing,M,20,N,unknown,"3' ""blue nosed"" shark"
1937.02.02,20/04/1905,1937,unknown,South Australia,Port Germein,12 of the Penang's crew were returning to the ship when their 12' dinghy capsized,M,unknown,Y,Night,"15' shark seen with the man's body in its mouth, but shark involvement prior to death was not confirmed"
1937.01.27,27/01/1937,1937,Provoked,New South Wales,"Lake Conjola, near Milton",Holding shark's tail ,M,18,N,unknown,"Grey nurse shark, 8'"
1937.00.00,20/04/1905,1937,Unprovoked,Torres Strait,unknown,unknown,M,unknown,N,unknown,unknown
1936.12.19,19/12/1936,1936,Boating,Queensland,Brisbane River,Sculling,unknown,unknown,N,unknown,3 m [10'] shark
1936.12.15,15/12/1936,1936,Provoked,New South Wales,Newcastle Harbor,Fishing for the shark that killed George Lundberg,unknown,unknown,N,unknown,unknown
1936.12.12,12/12/1936,1936,Unprovoked,New South Wales,"Throsby Creek, Newcastle",Swimming,M,15,Y,11h30,unknown
1936.12.01,1/12/1936,1936,Boating,Victoria,Mordialloc,Fishing,M,50,Y,unknown,Thought to involve a 12' white shark
1936.11.27,27/11/1936,1936,Provoked,Torres Strait,Near Thursday Island,Spearfishing ,M,unknown,N,unknown,0.9 m [3']  shark
1936.08.24,24/08/1936,1936,Unprovoked,Torres Strait,Near Mabuiag Island,"Trochus diving, but floating on surface",M,unknown,N,unknown,Large tiger shark seen in the vicinity the following morning
1936.08.04,4/08/1936,1936,Unprovoked,Torres Strait,Bathurst Island,Pearl diving,M,unknown,N,unknown,unknown
1936.07.07,7/07/1936,1936,Unprovoked,Torres Strait,Off Nepean Island,Diving,M,unknown,N,unknown,unknown
1936.06.26,26/06/1936,1936,Unprovoked,Torres Strait,Nepean Island,"Diving for trochus , but swimming on surface",M,16,Y,unknown,"Tiger shark, 2.4 m [8']"
1936.04.22,22/04/1936,1936,Unprovoked,Queensland,Arlington Reef near Cairns,Diving for trochus,M,16,N,10h00,"Tiger shark, 4.6 m [15'] "
1936.04.08,08-Ap-1936,1936,Unprovoked,Queensland,Arlington Reef near Cairns,Diving,unknown,unknown,N,unknown,unknown
1936.03.22,12/03/1936,1936,Unprovoked,Torres Strait,"Near Shelburne Bay, Queenland",Among 31 survivors of crew from the sampan Fukulya Maru (which reached Thursday Island in rowing boat) was a man whose arm had been bitten off by shark. The sampan wrecked west of McArthur island ,M,unknown,N,unknown,unknown
1936.03.19,19/03/1936,1936,Unprovoked,Queensland,"Near Forbes Island, Barrier Reef",Diving for trochus,M,unknown,N,unknown,unknown
1936.03.04.,4/03/1936,1936,Boating,Northern Territory,Between Cape Hotham & Darwin (50 miles from Darwin),Rowing ,unknown,unknown,N,unknown,unknown
1936.02.23,23/02/1936,1936,Provoked,New South Wales,"Angourie, near Yamba",Touching the mouth of a supposedly dead shark,F,unknown,N,unknown,unknown
1936.02.20..R,20/02/1936,1936,Unprovoked,Queensland,Brisbane River,Sculling,M,unknown,N,unknown,10' shark
1936.02.04,4/02/1936,1936,Unprovoked,New South Wales,"South Steyne, Manly",Swimming,M,14,Y,15h00,White shark
1936.01.22,22/01/1936,1936,Unprovoked,South Australia,"West Beach, near Adelaide","Swimming. Passer-by, Len Bedford, heard him shriek , saw shark leap from the water & swimmer disappeared",M,13,Y,18h00,White shark
1936.01.05,5/01/1936,1936,unknown,Queensland,"Main Beach, Southport",Surfing,M,17,N,unknown,Shark involvement prior to death was not confirmed
1936.01.00,1/01/1936,1936,Provoked,New South Wales,North Bondi,Paddleskiing,M,unknown,N,unknown,2.3 m [7'] shark
1936.00.00,19/04/1905,1936,Unprovoked,Victoria ,"Port Phillip Bay, Port Melbourne",Swimming ,M,unknown,Y,unknown,unknown
1935.12.23,23/12/1935,1935,Provoked,Victoria,150 yards from the pier at Lorne,Cruising,unknown,unknown,N,unknown,4.3 m [14'] shark
1935.11.13,13/11/1935,1935,Unprovoked,Torres Strait,Barrier Reef near Innisfail,Diving?,M,20,N,unknown,unknown
1935.08.26,26/08/1935,1935,Unprovoked,Queensland,"At Flat Top, near Mackay","Fell overboard, hanging onto lifebuoy",M,38,Y,Night,3.7 m [12'] shark
1935.08.13,13/08/1935,1935,Unprovoked,Torres Strait,"Near Warrior Reefs, Queensland",Diving for beche-de-mer from lugger,M,unknown,Y,unknown,unknown
1935.06.00.b,1/06/1935,1935,Boating,South Australia,Off Port Broughton,unknown,unknown,unknown,N,unknown,unknown
1935.05.12,12/05/1935,1935,Unprovoked,Torres Strait,On edge of reef near Warrior Island,Pearl diving,M,unknown,N,unknown,1.8 m [6'] shark
1935.04.25,25/04/1935,1935,unknown,New South Wales,Coogee,"Disappeared 11 days earlier, probable homicide victim",M,40,N,unknown,Tiger shark
1935.03.30,30/03/1935,1935,Unprovoked,Queensland,Barrier Reef off Mackay,Diving from dinghy for trochus shell,M,unknown,N,Afternoon,unknown
1935.03.20,20/03/1935,1935,Unprovoked,Torres Strait,Three Mile Reef off Lizard Island 50 miles north of Cooktown,"Pearl diving, but standing in the water",M,unknown,N,unknown,Tiger shark 3 m  [10'] 
1935.03.13,13/03/1935,1935,Provoked,Queensland,Pimpana River,Hauling in net with shark in it,M,38,N,unknown,"""Blue nose shark"""
1935.03.11,11/03/1935,1935,Unprovoked,New South Wales,Newcastle,Surfing,M,unknown,N,unknown,unknown
1935.03.09,9/03/1935,1935,Unprovoked,New South Wales,Maroubra Beach,Swimming,M,27,Y,12h30,"White shark, 4 m [13'] "
1935.03.02,2/03/1935,1935,Unprovoked,New South Wales,North Narrabeen Beach,Standing,M,22,Y,17h30,"White shark, 3.5 m to 4 m [11.5' to 13'] "
1935.02.14,14/02/1935,1935,Unprovoked,New South Wales,Austinmer,Surfing (pneumatic surfboard),M,20,N,17h30,unknown
1935.01.24.b,24/01/1935,1935,Unprovoked,New South Wales,"Off Ben Buckler, near Sydney",Fishing,M,unknown,N,unknown,"Tiger shark, 12' "
1935.01.24.a,24/01/1935,1935,Boating,Queensland,"Ross River, Townsville",Fishing for sharks,unknown,unknown,N,unknown,2 sharks
1935.01.17,17/01/1935,1935,unknown,Queensland,"Seaforth River, near MacKay",unknown,M,5,N,unknown,10' shark
1934.12.31.b,31/12/1934,1934,Unprovoked,New South Wales,George’s River at Kentucky,Splashing,F,13,N,20h15,"Tiger shark, 1.5 m [5'] "
1934.12.31.a,31/12/1934,1934,Unprovoked,New South Wales," St. George’s River at Moorebank, near Milperra Bridge",Swimming (lead swimmer in race),M,19,Y,16h30,unknown
1934.12.23.b,23/12/1934,1934,Unprovoked,New South Wales,Woy Woy  on the Brisbane Waters,Taken as he dived into the water,M,14,Y,13h00,unknown
1934.12.23.a,23/10/1934,1934,Unprovoked,New South Wales,Woy Woy on the Brisbane Waters,Swimming & splashing,M,12,N,13h00,unknown
1934.10.09,9/10/1934,1934,Unprovoked,Northern Territory,"Redcliff, Cobourg Peninsula",Bathing,F,38,Y,unknown,unknown
1934.10.02,22/10/1934,1934,Unprovoked,Torres Strait,Warrior Reefs,Freediving for trochus shell (submerged),M,unknown,Y,unknown,unknown
1934.08.26,26/08/1934,1934,Unprovoked,Queensland,Off Eva Island 20 miles from Cardwell,Dived into sea from launch & bitten immediately,M,unknown,Y,unknown,unknown
1934.07.11,11/07/1934,1934,Boating,New South Wales,Cronulla,Fishing,unknown,unknown,N,unknown,"Blue pointer, 11' "
1934.06.21,21/06/1934,1934,Provoked,New South Wales,Off Mooloolabah,Fishing,M,unknown,N,Night,"A 6.5' ""blue-nosed shark"""
1934.04.15,15/04/1934,1934,Unprovoked,Queensland,"Elephant Rock, Currumbin near Southport",Body surfing,M,34,N,09h30,unknown
1934.04.01.a,1/04/1934,1934,Unprovoked,New South Wales,North Steyne,Swimming in waist-deep water ,M,15,Y,12h30,4.3 m [14'] shark seen in vicinity
1934.03.12,12/03/1934,1934,Unprovoked,New South Wales,"Dee Why, north of Queenscliff ",Swimming in hip-deep water,M,17,Y,15h00,4 m [13'] shark seen in vicinity
1934.03.00,1/03/1934,1934,Provoked,New South Wales,Cronulla,Fishing ,unknown,unknown,N,unknown,"Mako shark, 3.7 m [12'] identified by tooth fragments by G.P. Whitley"
1934.02.24,24/02/1934,1934,Unprovoked,Torres Strait,Adolphus Channel,Splashing in water ,M,unknown,N,12h00,3.4 m [11']  tiger shark & a 5' shark
1934.01.27,27/01/1934,1934,Unprovoked,New South Wales,"Lambeth Street Wharf, George’s River, East Hills (20 miles from river mouth)",Swimming outside the safety enclosure attempting to retrieve a tennis ball drifting toward midstream ,M,15,N,unknown,unknown
1934.01.07,7/01/1934,1934,Unprovoked,New South Wales,Queenscliff,Swimming on sandbar adjacent to channel,M,22,N,15h30,4.3 m [14'] shark seen in area previous week
1933.11.20,20/11/1933,1933,Unprovoked,Torres Strait,Near Boydong Cay,Free diving for trochus ,M,unknown,Y,unknown,"Tiger shark, 3.4 m [11'] "
1933.11.18,18/11/1933,1933,Unprovoked,Queensland,Near Barrow Point,Pearl diving,M,17,N,unknown,Tiger shark
1933.10.25.R,25/10/1933,1933,Unprovoked,Queensland,Off Bloomfield River,Diving,M,unknown,N,unknown,unknown
1933.07.03,3/07/1933,1933,Unprovoked,Western Australia,Broome,Pearl diving,M,unknown,N,unknown,unknown
1933.06.13,13/06/1933,1933,unknown,Northern Territory,Darwin,Fishing,M,unknown,N,unknown,unknown
1933.05.23,23/05/1933,1933,Provoked,Queensland,Off Stradbroke Island,Fishing,M,unknown,N,unknown,7' to 8' shark
1933.06.08.R,8/06/1933,1933,Unprovoked,Queensland,Currumbin,Treading water,M,unknown,N,unknown,unknown
1933.02.26,26/02/1933,1933,Unprovoked,New South Wales,Sydney,Standing on his hands,M,unknown,N,unknown,10' shark
1933.02.15.R,15/02/1933,1933,Unprovoked,Torres Strait,"Barrow Point, 100 miles north of Cooktown, Queensland",Diving for trochus  from dinghy when seized by shark 6' below the surface,M,unknown,N,unknown,4.4 m [14'] shark
1933.02.14,14/02/1933,1933,Boating,South Australia,Adelaide,unknown,unknown,unknown,N,unknown,unknown
1933.02.12,12/02/1933,1933,Provoked,South Australia,"Port River, Adelaide",Fishing,M,unknown,N,unknown,Blue shark
1933.01.04,4/01/1933,1933,Unprovoked,Queensland,"Strand Beach, Kissing Point, Townsville",Swimming,M,38,Y,17h30,unknown
1932.12.11.R,11/12/1932,1932,Unprovoked,Northern Territory,Arnhem Land,unknown,M,unknown,N,unknown,unknown
1932.10.31,31/10/1932,1932,Unprovoked,New South Wales,"Redhead Beach, Newcastle",Swimming,M,24,N,11h00,Thought to involve a mako or grey nurse shark
1932.08.30.b,30/08/1932,1932,Provoked,New South Wales,Bondi,unknown,M,unknown,N,unknown,unknown
1932.08.30.a,30/08/1932,1932,Provoked,New South Wales,Newcastle,unknown,M,unknown,N,unknown,unknown
1932.08.09,9/08/1932,1932,Unprovoked,Torres Strait,unknown,Pearl diving,M,unknown,N,unknown,unknown
1932.05.12,12/05/1932,1932,Unprovoked,Torres Strait,Near Warrior Reefs,Pearl diving,M,unknown,Y,unknown,unknown
1932.05.00,1/05/1932,1932,Unprovoked,Torres Strait,Thursday Island,Pearl diving,M,unknown,N,unknown,unknown
1932.02.13,13/02/1932,1932,Unprovoked,Queensland,Calliope River,Fishing with dynamite,M,unknown,N,unknown,unknown
1932.01.27,27/01/1932,1932,Unprovoked,Queensland,Ipswich,Swimming,M,unknown,N,Afternoon,A small shark
1932.01.11,11/01/1932,1932,Boating,Victoria,Frankston,Fishing,unknown,unknown,unknown,unknown,Grey nurse shark
1931.11.26,26/11/1931,1931,Unprovoked,Torres Strait,Barrier Reef near Innisfail,Diving for trochus from lugger,M,45,N,unknown,4 m [13'] shark
1931.08.01,1/08/1931,1931,Unprovoked,Queensland,Port Douglas,Fell overboard?,M,unknown,Y,unknown,unknown
1931.05.02,2/05/1931,1931,Boating,New South Wales,Kempsey,unknown,unknown,unknown,N,unknown,"""a school of sharks"""
1931.03.22,22/03/1931,1931,Unprovoked,Queensland,"Ross River, Townsville",Fishing with a cast net,M,19,Y,unknown,unknown
1931.03.06,6/03/1931,1931,Provoked,South Australia,Encounter Bay,"Fishing, hauling in net, shark in net",M,unknown,N,unknown,"1.8 m [6'] ""cocktail shark"
1931.02.10,10/02/1931,1931,unknown,New South Wales,Maroubra Beach,Swimming ,M,39,Y,04h00,unknown
1931.01.24,24/01/1931,1931,Unprovoked,Torres Strait,Near Thursday Island,unknown,M,unknown,N,unknown,unknown
1931.01.14,14/01/1931,1931,Unprovoked,Torres Strait,unknown,Pearl diving,M,unknown,N,unknown,unknown
1931.01.07,7/01/1931,1931,Unprovoked,Queensland,"Yeppoon, near Ross Creek",Swimming,M,18,N,16h00,1.5 m [5'] shark
1930.12.25,25/12/1930,1930,Unprovoked,New South Wales,"Homebush Bay, Parramatta River, Sydney",Swimming,M,49,N,14h30,unknown
1930.12.13,13/12/1930,1930,Unprovoked,New South Wales,"Sailor Bay, Middle Harbour, Sydney",Fell overboard,M,unknown,Y,unknown,unknown
1930.12.02,2/12/1930,1930,Boating,Victoria,Rosebud,Fishing,unknown,unknown,N,unknown,7 shark's teeth found embedded in the woodwork of the boat
1930.12.00,30/12/2020,1930,Unprovoked,New South Wales,Parramata River,unknown,M,unknown,Y,unknown,unknown
1930.11.30,30/11/1930,1930,Unprovoked,Queensland,"St. Helena Island, Moreton Bay",Thrown into water from fishing dinghy,M,unknown,N,unknown,unknown
1930.08.31,31/08/1930,1930,Unprovoked,Western Australia,Geraldton,Fishing,M,17,N,15h30,unknown
1930.06.04,4/06/1930,1930,Unprovoked,Torres Strait,Near Mabuiag Island,unknown,M,unknown,Y,unknown,unknown
1930.02.20,20/02/1930,1930,Unprovoked,Torres Strait,unknown,Pearl diving,M,19,N,unknown,unknown
1930.02.15,15/02/1930,1930,Unprovoked,Victoria,"Middle Brighton, Port Phillip",Diving off pier & treading water,M,18,Y,16h30,White shark 4.9 m [16'] 
1930.02.03.R,3/02/1930,1930,Provoked,Western Australia,Onslow,Removing shark from a trap,M,unknown,N,unknown,unknown
1929.12.26,26/12/2029,1929,Unprovoked,New South Wales,"White Bay, near Bald Rock Jetty, Sydney Harbor ",Diving by wharf,M,16,Y,unknown,Tiger shark
1929.12.21,21/12/2029,1929,Unprovoked,Torres Strait,Thursday Island,Diving,M,unknown,N,unknown,unknown
1929.12.16,16/12/2029,1929,Unprovoked,New South Wales,Collaroy,Bathing or body surfing ,F,17,N,unknown,"""a small shark"""
1929.12.13,13/12/2029,1929,Unprovoked,Torres Strait,Thursday Island,Pearl diving,M,unknown,N,unknown,unknown
1929.12.03.R,3/12/1929,1929,Unprovoked,Queensland,Townsville,unknown,M,50,Y,unknown,unknown
1929.10.20,20/10/2029,1929,Unprovoked,Torres Strait,Near Badu Island,Pearl diving,M,unknown,N,unknown,unknown
1929.09.01,1/09/2029,1929,Unprovoked,Queensland,"Ross River, Townsville",Fell from wharf into water & attacked immediately,M,42,Y,unknown,unknown
1929.05.31,31/05/2029,1929,Unprovoked,Torres Strait,unknown,Pearl diving,M,unknown,N,unknown,unknown
1929.04.26.R,26/04/1929,1929,Unprovoked,Queensland,Great Barrier Reef,Diving for trepang,M,unknown,N,unknown,unknown
1929.04.17.R,17/04/1929,1929,Unprovoked,Queensland,Great Barrier Reef,Diving for trochus,M,unknown,N,unknown,unknown
1929.04.11,11/04/2029,1929,Provoked,Queensland,"Bribie Passage, Caloundra",Standing in knee-deep water,M,19,N,13h45,"Grey nurse shark, 4' "
1929.04.09,9/04/2029,1929,Unprovoked,Torres Strait,Badu Island,unknown,M,unknown,Y,unknown,unknown
1929.04.04,4/04/2029,1929,Unprovoked,Torres Strait,Badu Island,Swimming between boats,M,unknown,Y,unknown,unknown
1929.03.12,12/03/2029,1929,Unprovoked,Torres Strait,Near Dauan Island,Bathing,M,unknown,Y,unknown,unknown
1929.03.04.b,4/03/2029,1929,Unprovoked,South Australia,Ardrossan,Launching rowboat through the surf,M,9,N,unknown,"""a dog shark"""
1929.03.04.a,4/03/2029,1929,Unprovoked,South Australia,Ardrossan,Launching rowboat through the surf,M,12,N,unknown,"""a dog shark"""
1929.02.18,18/02/2029,1929,Unprovoked,New South Wales,Maroubra Bay,Body surfing,M,20,Y,15h30,unknown
1929.02.09,9/02/2029,1929,Boating,Western Australia,Glenelg,Canoeing,unknown,unknown,N,unknown,"Blue pointer, 12'"
1929.02.08,8/02/2029,1929,Unprovoked,New South Wales,Bondi,Swimming,M,39,Y,16h00,Galapagos shark
1929.01.27,27/01/2029,1929,Unprovoked,Queensland,"Alma Bay, Magnetic Island, Townsville",Swimming,M,unknown,Y,17h30,unknown
1929.01.12,12/01/2029,1929,Unprovoked,New South Wales,Bondi,Body surfing,M,14,Y,18h10,12' shark
1929.00.00.e.R,12/04/1905,1929,unknown,New South Wales,Sydney Harbor,Swimming,M,unknown,N,unknown,unknown
1929.00.00.b,12/04/1905,1929,Unprovoked,New South Wales,"Garden Island, Sydney",unknown,M,unknown,N,unknown,unknown
1928.04.14.R,14/04/1928,1928,Unprovoked,Queensland,"Barrow Point, 100 miles north of Cooktown, Queensland",Fishing,M,unknown,N,unknown,Tiger shark
1928.04.14,14/04/2028,1928,Unprovoked,New South Wales,Bondi,Treading water,M,19,N,16h00,unknown
1928.04.06,6/04/2028,1928,Unprovoked,Queensland,Graceville,Bathing,M,15,N,Morning,4' shark
1928.04.04,4/04/2028,1928,Unprovoked,New South Wales,"Cooks Hill, Newcastle",Standing in waist-deep water,M,28,Y,18h00,unknown
1928.03.28.R,28/03/1928,1928,Unprovoked,Queensland,unknown,unknown,M,unknown,N,unknown,unknown
1928.02.20,20/02/2028,1928,Unprovoked,Torres Strait,"Near Barrow Point, Queensland",Pearl diving,M,unknown,Y,unknown,unknown
